Address proof|पते का प्रमाण|पत्त्याचा पुरावा|સરનામાનો પુરાવો|முகவரிச் சான்று|చిరునామా రుజువు|ঠিকানার প্রমাণ|ವಿಳಾಸದ ಪುರಾವೆ
Social category certificate|सामाजिक श्रेणी प्रमाणपत्र|सामाजिक प्रवर्ग प्रमाणपत्र|સામાજિક શ્રેણીનું પ્રમાણપત્ર|சமூகப் பிரிவுச் சான்றிதழ்|సామాజిక వర్గ ధ్రువపత్రం|সামাজিক শ্রেণির শংসাপত্র|ಸಾಮಾಜಿಕ ವರ್ಗದ ಪ್ರಮಾಣಪತ್ರ
Income proof|आय प्रमाण|उत्पन्नाचा पुरावा|આવકનો પુરાવો|வருமானச் சான்று|ఆదాయ రుజువు|আয়ের প্রমাণ|ಆದಾಯದ ಪುರಾವೆ
Business registration|व्यवसाय पंजीकरण|व्यवसाय नोंदणी|વ્યવસાય નોંધણી|தொழில் பதிவு|వ్యాపార నమోదు|ব্যবসার নিবন্ধন|ವ್ಯಾಪಾರ ನೋಂದಣಿ
Bank account details|बैंक खाता विवरण|बँक खात्याचे तपशील|બેંક ખાતાની વિગતો|வங்கிக் கணக்கு விவரங்கள்|బ్యాంకు ఖాతా వివరాలు|ব্যাংক অ্যাকাউন্টের বিবরণ|ಬ್ಯಾಂಕ್ ಖಾತೆಯ ವಿವರಗಳು
Business plan|व्यवसाय योजना|व्यवसाय आराखडा|વ્યવસાય યોજના|தொழில் திட்டம்|వ్యాపార ప్రణాళిక|ব্যবসার পরিকল্পনা|ವ್ಯಾಪಾರ ಯೋಜನೆ
Application guide|आवेदन मार्गदर्शिका|अर्ज मार्गदर्शक|અરજી માર્ગદર્શિકા|விண்ணப்ப வழிகாட்டி|దరఖాస్తు మార్గదర్శి|আবেদনের নির্দেশিকা|ಅರ್ಜಿ ಮಾರ್ಗದರ್ಶಿ
Find government schemes|सरकारी योजनाएँ खोजें|शासकीय योजना शोधा|સરકારી યોજનાઓ શોધો|அரசுத் திட்டங்களைத் தேடுங்கள்|ప్రభుత్వ పథకాలను కనుగొనండి|সরকারি প্রকল্প খুঁজুন|ಸರ್ಕಾರಿ ಯೋಜನೆಗಳನ್ನು ಹುಡುಕಿ
Udyam registration|उद्यम पंजीकरण|उद्यम नोंदणी|ઉદ્યમ નોંધણી|உத்யம் பதிவு|ఉద్యమ్ నమోదు|উদ্যম নিবন্ধন|ಉದ್ಯಮ್ ನೋಂದಣಿ
Startup support|स्टार्टअप सहायता|स्टार्टअप सहाय्य|સ્ટાર્ટઅપ સહાય|புதிய தொழில் உதவி|స్టార్టప్ సహాయం|স্টার্টআপ সহায়তা|ಸ್ಟಾರ್ಟಪ್ ನೆರವು
Loans and subsidies|ऋण और सब्सिडी|कर्ज आणि अनुदान|લોન અને સબસિડી|கடன்கள் மற்றும் மானியங்கள்|రుణాలు మరియు సబ్సిడీలు|ঋণ ও ভর্তুকি|ಸಾಲಗಳು ಮತ್ತು ಸಬ್ಸಿಡಿಗಳು
Important Information|महत्वपूर्ण जानकारी|महत्त्वाची माहिती|મહત્વની માહિતી|முக்கிய தகவல்|ముఖ్యమైన సమాచారం|গুরুত্বপূর্ণ তথ্য|ಮುಖ್ಯ ಮಾಹಿತಿ
Create Account|खाता बनाएँ|खाते तयार करा|ખાતું બનાવો|கணக்கை உருவாக்கவும்|ఖాతా సృష్టించండి|অ্যাকাউন্ট তৈরি করুন|ಖಾತೆ ರಚಿಸಿ
Welcome back|वापस स्वागत है|पुन्हा स्वागत|ફરી સ્વાગત છે|மீண்டும் வருக|తిరిగి స్వాగతం|আবার স্বাগতম|ಮತ್ತೆ ಸ್ವಾಗತ
Recover your account|अपना खाता वापस पाएँ|आपले खाते परत मिळवा|તમારું ખાતું પાછું મેળવો|கணக்கை மீட்டெடுக்கவும்|మీ ఖాతాను పునరుద్ధరించండి|অ্যাকাউন্ট পুনরুদ্ধার করুন|ನಿಮ್ಮ ಖಾತೆಯನ್ನು ಮರಳಿ ಪಡೆಯಿರಿ
Back to home|होम पर वापस जाएँ|मुख्यपृष्ठावर परत|મુખ્ય પૃષ્ઠ પર પાછા|முகப்புக்குத் திரும்பவும்|హోమ్‌కు తిరిగి వెళ్ళండి|হোমে ফিরুন|ಮುಖಪುಟಕ್ಕೆ ಹಿಂತಿರುಗಿ
Back to sign in|साइन इन पर वापस जाएँ|साइन इनवर परत|સાઇન ઇન પર પાછા|உள்நுழைவுக்குத் திரும்பவும்|సైన్ ఇన్‌కు తిరిగి వెళ్ళండి|সাইন ইনে ফিরুন|ಸೈನ್ ಇನ್‌ಗೆ ಹಿಂತಿರುಗಿ
Already registered? Sign in|पहले से पंजीकृत हैं? साइन इन करें|आधी नोंदणी केली आहे? साइन इन करा|પહેલેથી નોંધણી કરી છે? સાઇન ઇન કરો|ஏற்கெனவே பதிவு செய்துள்ளீர்களா? உள்நுழையவும்|ఇప్పటికే నమోదు చేసుకున్నారా? సైన్ ఇన్ చేయండి|আগে নিবন্ধন করেছেন? সাইন ইন করুন|ಈಗಾಗಲೇ ನೋಂದಾಯಿಸಿದ್ದೀರಾ? ಸೈನ್ ಇನ್ ಮಾಡಿ
Forgot password?|पासवर्ड भूल गए?|पासवर्ड विसरलात?|પાસવર્ડ ભૂલી ગયા?|கடவுச்சொல் மறந்துவிட்டதா?|పాస్‌వర్డ్ మర్చిపోయారా?|পাসওয়ার্ড ভুলে গেছেন?|ಪಾಸ್‌ವರ್ಡ್ ಮರೆತಿರಾ?
Email or mobile number|ईमेल या मोबाइल नंबर|ईमेल किंवा मोबाइल क्रमांक|ઈમેલ અથવા મોબાઇલ નંબર|மின்னஞ்சல் அல்லது கைப்பேசி எண்|ఇమెయిల్ లేదా మొబైల్ నంబర్|ইমেল বা মোবাইল নম্বর|ಇಮೇಲ್ ಅಥವಾ ಮೊಬೈಲ್ ಸಂಖ್ಯೆ
Free to use|उपयोग निःशुल्क है|वापरण्यास मोफत|ઉપયોગ મફત છે|இலவசமாகப் பயன்படுத்தலாம்|ఉచితంగా ఉపయోగించండి|বিনামূল্যে ব্যবহার করুন|ಉಚಿತವಾಗಿ ಬಳಸಿ
Personalized scheme matches|आपके लिए योजना मिलान|तुमच्यासाठी योजना जुळवणी|તમારા માટે યોજનાઓનો મેળ|உங்களுக்கான திட்டப் பொருத்தங்கள்|మీకు సరిపోలే పథకాలు|আপনার জন্য প্রকল্পের মিল|ನಿಮಗಾಗಿ ಹೊಂದುವ ಯೋಜನೆಗಳು
AI-powered guidance|AI से मार्गदर्शन|AI मार्गदर्शन|AI માર્ગદર્શન|AI வழிகாட்டல்|AI మార్గదర్శకత్వం|AI নির্দেশনা|AI ಮಾರ್ಗದರ್ಶನ
Your account, securely accessible|आपके खाते तक सुरक्षित पहुँच|तुमच्या खात्यात सुरक्षित प्रवेश|તમારા ખાતામાં સુરક્ષિત પ્રવેશ|உங்கள் கணக்கைப் பாதுகாப்பாக அணுகவும்|మీ ఖాతాకు సురక్షిత ప్రాప్యత|আপনার অ্যাকাউন্টে নিরাপদ প্রবেশ|ನಿಮ್ಮ ಖಾತೆಗೆ ಸುರಕ್ಷಿತ ಪ್ರವೇಶ
Help & support|सहायता और समर्थन|मदत आणि सहाय्य|મદદ અને સહાય|உதவி மற்றும் ஆதரவு|సహాయం మరియు మద్దతు|সাহায্য ও সহায়তা|ಸಹಾಯ ಮತ್ತು ಬೆಂಬಲ
or|या|किंवा|અથવા|அல்லது|లేదా|অথবা|ಅಥವಾ
of|में से|पैकी|માંથી|இல்|లో|এর মধ্যে|ರಲ್ಲಿ
Please wait...|कृपया प्रतीक्षा करें…|कृपया थांबा…|કૃપા કરીને રાહ જુઓ…|காத்திருக்கவும்…|దయచేసి వేచి ఉండండి…|অনুগ্রহ করে অপেক্ষা করুন…|ದಯವಿಟ್ಟು ಕಾಯಿರಿ…
Reset your password|पासवर्ड रीसेट करें|पासवर्ड रीसेट करा|પાસવર્ડ રીસેટ કરો|கடவுச்சொல்லை மீட்டமைக்கவும்|పాస్‌వర్డ్ రీసెట్ చేయండి|পাসওয়ার্ড রিসেট করুন|ಪಾಸ್‌ವರ್ಡ್ ಮರುಹೊಂದಿಸಿ
New password|नया पासवर्ड|नवीन पासवर्ड|નવો પાસવર્ડ|புதிய கடவுச்சொல்|కొత్త పాస్‌వర్డ్|নতুন পাসওয়ার্ড|ಹೊಸ ಪಾಸ್‌ವರ್ಡ್
Confirm new password|नए पासवर्ड की पुष्टि करें|नवीन पासवर्डची पुष्टी करा|નવા પાસવર્ડની પુષ્ટિ કરો|புதிய கடவுச்சொல்லை உறுதிப்படுத்தவும்|కొత్త పాస్‌వర్డ్ నిర్ధారించండి|নতুন পাসওয়ার্ড নিশ্চিত করুন|ಹೊಸ ಪಾಸ್‌ವರ್ಡ್ ದೃಢಪಡಿಸಿ
Password updated|पासवर्ड बदल गया|पासवर्ड बदलला|પાસવર્ડ બદલાયો|கடவுச்சொல் மாற்றப்பட்டது|పాస్‌వర్డ్ మార్చబడింది|পাসওয়ার্ড বদলানো হয়েছে|ಪಾಸ್‌ವರ್ಡ್ ಬದಲಾಯಿಸಲಾಗಿದೆ
Update password|पासवर्ड बदलें|पासवर्ड बदला|પાસવર્ડ બદલો|கடவுச்சொல்லை மாற்றவும்|పాస్‌వర్డ్ మార్చండి|পাসওয়ার্ড বদলান|ಪಾಸ್‌ವರ್ಡ್ ಬದಲಾಯಿಸಿ
Updating password…|पासवर्ड बदल रहे हैं…|पासवर्ड बदलत आहे…|પાસવર્ડ બદલાઈ રહ્યો છે…|கடவுச்சொல் மாற்றப்படுகிறது…|పాస్‌వర్డ్ మారుస్తోంది…|পাসওয়ার্ড বদলানো হচ্ছে…|ಪಾಸ್‌ವರ್ಡ್ ಬದಲಾಯಿಸಲಾಗುತ್ತಿದೆ…
Verify identity|पहचान सत्यापित करें|ओळख पडताळा|ઓળખ ચકાસો|அடையாளத்தைச் சரிபார்க்கவும்|గుర్తింపును ధ్రువీకరించండి|পরিচয় যাচাই করুন|ಗುರುತನ್ನು ಪರಿಶೀಲಿಸಿ
Enter OTP|OTP दर्ज करें|OTP टाका|OTP દાખલ કરો|OTP உள்ளிடவும்|OTP నమోదు చేయండి|OTP লিখুন|OTP ನಮೂದಿಸಿ
Verification code (OTP)|सत्यापन कोड (OTP)|पडताळणी कोड (OTP)|ચકાસણી કોડ (OTP)|சரிபார்ப்புக் குறியீடு (OTP)|ధ్రువీకరణ కోడ్ (OTP)|যাচাইকরণ কোড (OTP)|ಪರಿಶೀಲನಾ ಕೋಡ್ (OTP)
Verify OTP|OTP सत्यापित करें|OTP पडताळा|OTP ચકાસો|OTP சரிபார்க்கவும்|OTP ధ్రువీకరించండి|OTP যাচাই করুন|OTP ಪರಿಶೀಲಿಸಿ
Verifying…|सत्यापित कर रहे हैं…|पडताळत आहे…|ચકાસી રહ્યા છીએ…|சரிபார்க்கப்படுகிறது…|ధ్రువీకరిస్తోంది…|যাচাই করা হচ্ছে…|ಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ…
Send verification code|सत्यापन कोड भेजें|पडताळणी कोड पाठवा|ચકાસણી કોડ મોકલો|சரிபார்ப்புக் குறியீட்டை அனுப்பவும்|ధ్రువీకరణ కోడ్ పంపండి|যাচাইকরণ কোড পাঠান|ಪರಿಶೀಲನಾ ಕೋಡ್ ಕಳುಹಿಸಿ
Sending OTP…|OTP भेज रहे हैं…|OTP पाठवत आहे…|OTP મોકલી રહ્યા છીએ…|OTP அனுப்பப்படுகிறது…|OTP పంపుతోంది…|OTP পাঠানো হচ্ছে…|OTP ಕಳುಹಿಸಲಾಗುತ್ತಿದೆ…
Request a new code|नया कोड माँगें|नवीन कोड मागवा|નવો કોડ માંગો|புதிய குறியீட்டைக் கோரவும்|కొత్త కోడ్ కోరండి|নতুন কোড চান|ಹೊಸ ಕೋಡ್ ಕೇಳಿ
Start again|फिर शुरू करें|पुन्हा सुरू करा|ફરી શરૂ કરો|மீண்டும் தொடங்கவும்|మళ్లీ ప్రారంభించండి|আবার শুরু করুন|ಮತ್ತೆ ಪ್ರಾರಂಭಿಸಿ
Reset via Email|ईमेल से रीसेट करें|ईमेलद्वारे रीसेट करा|ઈમેલથી રીસેટ કરો|மின்னஞ்சல் மூலம் மீட்டமைக்கவும்|ఇమెయిల్ ద్వారా రీసెట్ చేయండి|ইমেলের মাধ্যমে রিসেট করুন|ಇಮೇಲ್ ಮೂಲಕ ಮರುಹೊಂದಿಸಿ
Reset via Mobile Number|मोबाइल नंबर से रीसेट करें|मोबाइल क्रमांकाद्वारे रीसेट करा|મોબાઇલ નંબરથી રીસેટ કરો|கைப்பேசி எண் மூலம் மீட்டமைக்கவும்|మొబైల్ నంబర్ ద్వారా రీసెట్ చేయండి|মোবাইল নম্বরের মাধ্যমে রিসেট করুন|ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯ ಮೂಲಕ ಮರುಹೊಂದಿಸಿ
Registered email address|पंजीकृत ईमेल पता|नोंदणीकृत ईमेल पत्ता|નોંધાયેલ ઈમેલ સરનામું|பதிவுசெய்த மின்னஞ்சல் முகவரி|నమోదైన ఇమెయిల్ చిరునామా|নিবন্ধিত ইমেল ঠিকানা|ನೋಂದಾಯಿತ ಇಮೇಲ್ ವಿಳಾಸ
Registered mobile number|पंजीकृत मोबाइल नंबर|नोंदणीकृत मोबाइल क्रमांक|નોંધાયેલ મોબાઇલ નંબર|பதிவுசெய்த கைப்பேசி எண்|నమోదైన మొబైల్ నంబర్|নিবন্ধিত মোবাইল নম্বর|ನೋಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆ
Email verified.|ईमेल सत्यापित हुआ।|ईमेल पडताळला.|ઈમેલ ચકાસાયો.|மின்னஞ்சல் சரிபார்க்கப்பட்டது.|ఇమెయిల్ ధ్రువీకరించబడింది.|ইমেল যাচাই করা হয়েছে।|ಇಮೇಲ್ ಪರಿಶೀಲಿಸಲಾಗಿದೆ.
Mobile number verified.|मोबाइल नंबर सत्यापित हुआ।|मोबाइल क्रमांक पडताळला.|મોબાઇલ નંબર ચકાસાયો.|கைப்பேசி எண் சரிபார்க்கப்பட்டது.|మొబైల్ నంబర్ ధ్రువీకరించబడింది.|মোবাইল নম্বর যাচাই করা হয়েছে।|ಮೊಬೈಲ್ ಸಂಖ್ಯೆ ಪರಿಶೀಲಿಸಲಾಗಿದೆ.
CAPTCHA verification|CAPTCHA सत्यापन|CAPTCHA पडताळणी|CAPTCHA ચકાસણી|CAPTCHA சரிபார்ப்பு|CAPTCHA ధ్రువీకరణ|CAPTCHA যাচাইকরণ|CAPTCHA ಪರಿಶೀಲನೆ
Refresh CAPTCHA|नया CAPTCHA लें|नवीन CAPTCHA घ्या|નવો CAPTCHA મેળવો|புதிய CAPTCHA பெறவும்|కొత్త CAPTCHA పొందండి|নতুন CAPTCHA নিন|ಹೊಸ CAPTCHA ಪಡೆಯಿರಿ
Enter the characters shown above|ऊपर दिखाए गए अक्षर दर्ज करें|वर दाखवलेली अक्षरे टाका|ઉપર દર્શાવેલા અક્ષરો દાખલ કરો|மேலே காட்டிய எழுத்துகளை உள்ளிடவும்|పైన చూపిన అక్షరాలను నమోదు చేయండి|উপরে দেখানো অক্ষরগুলি লিখুন|ಮೇಲೆ ತೋರಿಸಿದ ಅಕ್ಷರಗಳನ್ನು ನಮೂದಿಸಿ
Letters are not case-sensitive.|बड़े या छोटे अक्षर, दोनों मान्य हैं।|मोठी किंवा लहान अक्षरे चालतील.|મોટા કે નાના અક્ષરો બંને ચાલશે.|பெரிய அல்லது சிறிய எழுத்துகள் இரண்டும் ஏற்கப்படும்.|పెద్ద లేదా చిన్న అక్షరాలు రెండూ చెల్లుతాయి.|বড় বা ছোট হাতের অক্ষর দুটোই চলবে।|ದೊಡ್ಡ ಅಥವಾ ಸಣ್ಣ ಅಕ್ಷರಗಳು ಎರಡೂ ಮಾನ್ಯ.
Loading verification…|सत्यापन लोड हो रहा है…|पडताळणी लोड होत आहे…|ચકાસણી લોડ થઈ રહી છે…|சரிபார்ப்பு ஏற்றப்படுகிறது…|ధ్రువీకరణ లోడ్ అవుతోంది…|যাচাইকরণ লোড হচ্ছে…|ಪರಿಶೀಲನೆ ಲೋಡ್ ಆಗುತ್ತಿದೆ…

Sign in|साइन इन करें|साइन इन करा|સાઇન ઇન કરો|உள்நுழையவும்|సైన్ ఇన్ చేయండి|সাইন ইন করুন|ಸೈನ್ ಇನ್ ಮಾಡಿ
Create an account|खाता बनाएं|खाते तयार करा|ખાતું બનાવો|கணக்கை உருவாக்கவும்|ఖాతా సృష్టించండి|অ্যাকাউন্ট তৈরি করুন|ಖಾತೆ ರಚಿಸಿ
